id;predicted_label;expected_label
disco_74;blues;disco
disco_73;blues;disco
disco_94;disco;disco
disco_95;disco;disco
disco_87;metal;disco
disco_78;jazz;disco
disco_75;blues;disco
disco_96;jazz;disco
disco_85;disco;disco
disco_97;blues;disco
disco_91;metal;disco
disco_72;disco;disco
disco_89;blues;disco
disco_81;blues;disco
disco_92;disco;disco
disco_79;disco;disco
disco_86;blues;disco
disco_93;disco;disco
disco_90;disco;disco
disco_88;reggae;disco
jazz_22;jazz;jazz
jazz_27;jazz;jazz
jazz_8;reggae;jazz
jazz_14;jazz;jazz
jazz_1;jazz;jazz
jazz_9;jazz;jazz
jazz_7;jazz;jazz
jazz_2;jazz;jazz
jazz_10;jazz;jazz
jazz_17;jazz;jazz
jazz_0;jazz;jazz
jazz_5;disco;jazz
jazz_11;jazz;jazz
jazz_16;jazz;jazz
jazz_15;jazz;jazz
jazz_3;jazz;jazz
jazz_20;jazz;jazz
jazz_29;jazz;jazz
jazz_23;jazz;jazz
jazz_21;jazz;jazz
blues_19;metal;blues
blues_7;disco;blues
blues_4;blues;blues
blues_20;blues;blues
blues_15;blues;blues
blues_18;blues;blues
blues_94;blues;blues
blues_1;blues;blues
blues_95;blues;blues
blues_9;disco;blues
blues_13;blues;blues
blues_6;blues;blues
blues_11;disco;blues
blues_96;jazz;blues
blues_2;blues;blues
blues_16;blues;blues
blues_0;blues;blues
blues_99;metal;blues
blues_17;disco;blues
blues_5;metal;blues
metal_21;metal;metal
metal_11;metal;metal
metal_12;metal;metal
metal_18;blues;metal
metal_8;jazz;metal
metal_1;blues;metal
metal_22;metal;metal
metal_99;metal;metal
metal_20;disco;metal
metal_95;metal;metal
metal_10;metal;metal
metal_15;metal;metal
metal_13;jazz;metal
metal_94;jazz;metal
metal_5;blues;metal
metal_19;disco;metal
metal_0;metal;metal
metal_93;jazz;metal
metal_98;disco;metal
metal_4;jazz;metal
reggae_94;reggae;reggae
reggae_87;reggae;reggae
reggae_82;reggae;reggae
reggae_84;disco;reggae
reggae_86;disco;reggae
reggae_83;jazz;reggae
reggae_1;jazz;reggae
reggae_80;reggae;reggae
reggae_92;blues;reggae
reggae_0;metal;reggae
reggae_4;reggae;reggae
reggae_90;metal;reggae
reggae_2;disco;reggae
reggae_6;reggae;reggae
reggae_78;disco;reggae
reggae_85;reggae;reggae
reggae_88;metal;reggae
reggae_91;jazz;reggae
reggae_99;metal;reggae
reggae_98;blues;reggae
